TractFIPS,TotalPopulation,ACCESS2_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,COPD_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,PHLTH_CrudePrev,STROKE_CrudePrev,LifeExp
22033000100,1624,26.4,52.1,4.8,13.9,10.1,13.9,23.4,38.4,50.3,56.2,24.6,7.6,67.9
22033000200,6750,22.4,49.7,5.1,12.9,9.1,12.1,21.2,37.3,45.7,53.2,21.5,6.7,69.1
22033000300,1795,20.7,51.2,4.9,12.4,8.1,10.6,19.8,37.7,42.3,51.9,19.3,6.0,66.1
22033000400,3082,19.9,50.9,5.1,12.5,8.0,10.5,19.2,37.9,41.0,50.9,18.9,5.8,72.6
22033000500,4152,22.1,53.8,5.3,12.8,9.1,11.8,21.9,39.9,44.9,52.3,20.8,6.9,66.1
22033000601,3645,17.9,48.9,4.9,11.9,7.0,9.2,18.3,36.4,38.6,50.1,17.1,5.4,66.5
22033000602,4275,18.0,53.4,5.9,11.6,8.2,9.7,20.3,39.9,39.0,49.0,17.3,6.1,71.5
22033000701,2433,22.8,48.5,4.7,12.5,8.3,11.1,19.8,36.6,44.2,52.2,20.5,6.1,69.7
22033000702,3594,16.9,47.0,5.0,11.4,6.8,8.1,16.8,35.5,36.0,47.2,15.6,5.0,70.3
22033000900,4239,19.2,56.0,6.3,11.9,9.8,11.2,23.1,41.4,42.6,51.1,19.7,7.4,69.0
22033001000,3527,19.4,56.2,6.2,12.1,10.1,11.4,23.4,41.0,43.4,52.3,20.2,7.6,71.3
22033001102,3000,18.9,0.5,7.5,11.0,9.8,10.5,17.2,38.5,39.3,42.5,17.1,6.1,70.0
22033001103,3281,18.5,47.0,4.8,12.0,7.4,9.5,17.5,35.7,39.2,49.9,17.4,5.3,71.3
22033001104,4430,25.5,48.8,4.1,13.7,8.0,11.7,19.6,35.5,47.3,54.4,22.1,6.2,71.4
22033001600,3515,10.4,33.9,5.1,8.8,4.7,5.3,9.8,32.1,23.4,36.3,10.0,2.8,72.1
22033001700,5132,9.0,36.5,6.5,8.3,5.6,5.8,10.4,36.1,22.1,35.0,10.1,3.0,71.0
22033001800,2555,12.7,39.7,7.4,8.6,7.4,7.7,11.6,37.8,28.7,36.6,12.8,3.8,78.2
22033001900,2523,6.1,31.3,7.4,7.1,5.0,4.6,7.6,36.0,16.7,29.1,7.7,2.2,78.5
22033002000,3435,7.3,38.6,9.1,7.4,7.0,6.3,10.1,41.0,21.1,30.2,9.8,3.1,82.6
22033002200,1446,19.4,48.1,5.5,11.8,9.0,10.8,20.2,37.4,40.7,49.0,19.1,6.6,66.0
22033002300,2776,5.9,28.3,6.4,7.1,4.4,4.1,6.7,33.7,15.3,28.4,7.2,2.0,83.1
22033002400,2682,18.6,41.3,4.5,10.9,7.1,8.6,15.8,34.3,35.8,45.1,16.1,4.8,72.5
22033002500,3504,14.3,35.1,4.0,10.2,5.3,6.4,11.5,31.1,28.6,37.2,12.0,3.6,68.6
22033002601,3822,6.8,29.6,6.1,7.5,4.8,4.6,7.3,34.1,17.2,29.7,8.3,2.2,80.3
22033002602,3916,9.4,34.0,6.9,8.3,6.3,6.3,9.6,35.6,23.1,33.8,10.6,3.0,80.0
22033002700,1621,13.7,47.5,6.8,10.0,8.0,8.6,16.2,39.6,32.3,42.6,14.8,5.1,73.2
22033002801,3471,14.9,18.5,1.3,7.7,2.0,3.1,4.6,18.8,24.6,27.3,8.2,1.0,75.0
22033002802,4111,12.2,12.9,1.2,10.5,1.4,3.5,2.4,13.5,20.3,26.8,7.5,0.8,75.0
22033003000,4758,17.6,37.2,3.5,12.2,5.2,6.8,12.8,27.9,33.7,43.4,13.5,4.0,72.9
22033003101,4109,16.5,53.8,6.8,11.4,9.5,9.8,21.6,39.9,38.9,48.7,17.5,7.0,73.5
22033003103,3278,23.8,44.2,3.0,10.1,5.8,7.8,13.5,31.8,37.6,48.5,15.6,4.1,71.2
22033003201,3842,13.9,44.7,6.1,9.9,6.8,7.7,14.5,36.9,32.0,43.4,13.6,4.2,75.9
22033003202,3917,11.6,43.9,6.7,9.3,6.6,7.1,13.6,38.1,28.0,40.3,12.3,3.9,75.7
22033003300,5161,16.0,48.5,5.8,11.1,7.2,7.9,17.4,36.3,34.5,45.3,14.5,5.4,69.1
22033003400,6631,19.2,49.5,5.6,12.1,8.2,10.2,20.1,37.6,40.4,49.7,18.2,6.2,70.0
22033003501,3060,19.9,42.5,5.4,9.9,6.7,7.9,15.2,36.2,34.5,43.1,14.5,4.4,75.5
22033003504,6214,15.8,49.0,5.2,11.3,7.0,8.5,18.6,36.6,36.9,49.7,16.2,5.3,75.0
22033003505,4176,17.0,44.9,5.1,10.7,6.5,7.9,15.5,35.3,34.5,46.0,14.9,4.5,72.3
22033003506,6857,13.7,44.6,6.0,9.6,6.1,6.7,13.5,36.1,29.9,41.5,12.3,3.8,76.4
22033003507,5314,12.8,41.6,5.3,9.8,5.3,6.2,13.3,33.7,28.7,43.1,12.0,3.6,75.7
22033003601,3483,12.6,42.1,6.7,8.8,6.5,6.6,12.6,37.2,27.9,37.1,11.5,3.6,77.1
22033003603,2967,20.4,41.9,5.7,10.3,7.9,9.4,14.7,36.5,36.8,44.3,16.2,4.6,69.5
22033003604,6435,20.6,39.7,3.8,10.7,5.1,7.0,13.0,32.1,35.9,43.8,14.3,3.5,72.9
22033003701,5966,9.7,38.4,8.2,7.9,6.9,6.7,10.3,38.8,23.6,32.5,10.5,3.3,79.5
22033003702,3415,10.8,38.7,8.2,8.1,7.3,7.1,11.3,38.8,25.4,32.7,11.0,3.5,77.1
22033003703,6230,10.5,39.7,8.0,7.9,7.2,7.0,11.9,39.4,26.2,33.2,11.2,3.5,76.8
22033003801,7574,8.5,33.5,6.2,7.8,5.1,4.9,9.0,34.4,20.0,31.8,8.8,2.6,78.5
22033003802,5361,8.7,34.8,7.6,7.7,5.9,5.7,9.0,36.7,21.4,31.0,9.2,2.8,75.0
22033003804,4808,7.8,32.6,7.6,7.6,5.7,5.3,8.3,35.3,19.6,29.4,8.8,2.6,74.7
22033003805,6715,8.9,31.7,6.3,8.0,4.9,5.4,8.2,34.6,21.0,32.0,9.3,2.4,80.4
22033003904,6439,14.2,35.6,5.3,9.5,5.6,6.6,10.5,32.2,28.8,39.5,11.9,3.1,77.1
22033003906,8815,9.5,34.8,6.6,8.1,5.7,6.3,9.9,37.3,23.2,33.5,10.6,2.8,79.0
