ID,Geographic Area Name,Total,Hispanic or Latino,White,Black or African American, American Indian and Alaska Native alone,Asian,Native Hawaiian and Other Pacific Islander alone,Two or More Races ,%Hispanic,%White,%Black,%American Indian,%Asian ,%Two or More Races 
1400000US22033000100,"Census Tract 1, East Baton Rouge Parish, Louisiana",1541,9,66,1425,4,0,1,3,0.58403634,4.28293316,92.47242051,0.259571707,0,2.401038287
1400000US22033000200,"Census Tract 2, East Baton Rouge Parish, Louisiana",6535,110,262,5976,17,1,0,10,1.68324407,4.009181331,91.44605968,0.26013772,0.015302219,2.6013772
1400000US22033000300,"Census Tract 3, East Baton Rouge Parish, Louisiana",1424,14,36,1348,1,0,0,0,0.983146067,2.528089888,94.66292135,0.070224719,0,1.755617978
1400000US22033000400,"Census Tract 4, East Baton Rouge Parish, Louisiana",2606,37,105,2375,1,11,0,17,1.41980046,4.029163469,91.13584037,0.038372985,0.42210284,3.376822717
1400000US22033000500,"Census Tract 5, East Baton Rouge Parish, Louisiana",3439,24,127,3237,5,0,0,5,0.69787729,3.692933992,94.12619948,0.145391102,0,1.337598139
1400000US22033000601,"Census Tract 6.01, East Baton Rouge Parish, Louisiana",2993,38,60,2868,0,0,0,0,1.269629135,2.004677581,95.82358837,0,0,0.902104911
1400000US22033000602,"Census Tract 6.02, East Baton Rouge Parish, Louisiana",3893,40,48,3731,3,1,2,8,1.02748523,1.232982276,95.83868482,0.077061392,0.025687131,1.823786283
1400000US22033000701,"Census Tract 7.01, East Baton Rouge Parish, Louisiana",2103,133,71,1808,12,14,0,12,6.324298621,3.376129339,85.97242035,0.570613409,0.665715644,3.756538279
1400000US22033000702,"Census Tract 7.02, East Baton Rouge Parish, Louisiana",3122,49,87,2892,2,15,0,7,1.569506726,2.786675208,92.63292761,0.064061499,0.480461243,2.946828956
1400000US22033000900,"Census Tract 9, East Baton Rouge Parish, Louisiana",3656,49,47,3477,6,3,1,8,1.340262582,1.285557987,95.10393873,0.164113786,0.082056893,2.106126915
1400000US22033001000,"Census Tract 10, East Baton Rouge Parish, Louisiana",2754,39,39,2608,0,6,1,3,1.416122004,1.416122004,94.69862019,0,0.217864924,2.469135802
1400000US22033001102,"Census Tract 11.02, East Baton Rouge Parish, Louisiana",3647,98,463,2987,3,29,0,8,2.687140115,12.69536605,81.90293392,0.082259391,0.795174116,2.632300521
1400000US22033001103,"Census Tract 11.03, East Baton Rouge Parish, Louisiana",3005,90,264,2553,6,16,0,13,2.995008319,8.785357737,84.95840266,0.199667221,0.532445923,3.06156406
1400000US22033001104,"Census Tract 11.04, East Baton Rouge Parish, Louisiana",4005,517,92,3308,5,4,3,12,12.90886392,2.297128589,82.59675406,0.124843945,0.099875156,2.072409488
1400000US22033001600,"Census Tract 16, East Baton Rouge Parish, Louisiana",3178,99,1500,1406,4,25,0,12,3.115166772,47.19949654,44.24166142,0.125865324,0.786658276,5.317809943
1400000US22033001700,"Census Tract 17, East Baton Rouge Parish, Louisiana",5035,220,3219,1384,9,38,2,17,4.369414101,63.93247269,27.48758689,0.178748759,0.754716981,4.031777557
1400000US22033001800,"Census Tract 18, East Baton Rouge Parish, Louisiana",2271,239,1285,633,4,42,1,14,10.52399824,56.58300308,27.87318362,0.176133862,1.849405548,4.843681198
1400000US22033001900,"Census Tract 19, East Baton Rouge Parish, Louisiana",2751,129,2298,207,5,33,0,0,4.689203926,83.53326063,7.524536532,0.18175209,1.199563795,4.071246819
1400000US22033002000,"Census Tract 20, East Baton Rouge Parish, Louisiana",3562,182,2881,279,14,99,0,7,5.109489051,80.88152723,7.832678271,0.393037619,2.779337451,5.783267827
1400000US22033002200,"Census Tract 22, East Baton Rouge Parish, Louisiana",1169,30,213,890,2,2,0,7,2.566295979,18.22070145,76.13344739,0.171086399,0.171086399,2.908468777
