id,Geographic Area Name,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Total ,%White ,%Black ,%American Indian,%Asian,%Other
1500000US220330001001,"Block Group 1, Census Tract 1, East Baton Rouge Parish, Louisiana",66,1427,4,1,1,5,1504,4.388297872,94.88031915,0.265957447,0.066489362,0.332446809
1500000US220330002001,"Block Group 1, Census Tract 2, East Baton Rouge Parish, Louisiana",80,1084,1,0,0,6,1171,6.83176772,92.5704526,0.085397096,0,0.512382579
1500000US220330002002,"Block Group 2, Census Tract 2, East Baton Rouge Parish, Louisiana",24,1111,3,0,0,6,1144,2.097902098,97.11538462,0.262237762,0,0.524475524
1500000US220330002003,"Block Group 3, Census Tract 2, East Baton Rouge Parish, Louisiana",13,732,0,0,0,3,748,1.737967914,97.86096257,0,0,0.401069519
1500000US220330002004,"Block Group 4, Census Tract 2, East Baton Rouge Parish, Louisiana",17,736,0,0,0,9,762,2.230971129,96.58792651,0,0,1.181102362
1500000US220330002005,"Block Group 5, Census Tract 2, East Baton Rouge Parish, Louisiana",65,1303,6,1,0,13,1388,4.682997118,93.87608069,0.432276657,0.07204611,0.936599424
1500000US220330002006,"Block Group 6, Census Tract 2, East Baton Rouge Parish, Louisiana",72,1054,8,0,0,14,1148,6.271777003,91.81184669,0.696864111,0,1.219512195
1500000US220330003001,"Block Group 1, Census Tract 3, East Baton Rouge Parish, Louisiana",28,903,1,0,0,0,932,3.004291845,96.88841202,0.107296137,0,0
1500000US220330003002,"Block Group 2, Census Tract 3, East Baton Rouge Parish, Louisiana",8,451,1,0,0,0,460,1.739130435,98.04347826,0.217391304,0,0
1500000US220330004001,"Block Group 1, Census Tract 4, East Baton Rouge Parish, Louisiana",68,972,1,6,0,7,1054,6.451612903,92.22011385,0.09487666,0.569259962,0.664136622
1500000US220330004002,"Block Group 2, Census Tract 4, East Baton Rouge Parish, Louisiana",24,782,0,2,0,5,813,2.95202952,96.18696187,0,0.24600246,0.61500615
1500000US220330004003,"Block Group 3, Census Tract 4, East Baton Rouge Parish, Louisiana",14,640,0,3,0,18,675,2.074074074,94.81481481,0,0.444444444,2.666666667
1500000US220330005001,"Block Group 1, Census Tract 5, East Baton Rouge Parish, Louisiana",49,1366,0,0,0,1,1416,3.460451977,96.46892655,0,0,0.070621469
1500000US220330005002,"Block Group 2, Census Tract 5, East Baton Rouge Parish, Louisiana",36,707,0,0,0,5,748,4.812834225,94.51871658,0,0,0.668449198
1500000US220330005003,"Block Group 3, Census Tract 5, East Baton Rouge Parish, Louisiana",44,1168,5,0,0,7,1224,3.594771242,95.4248366,0.408496732,0,0.571895425
1500000US220330006011,"Block Group 1, Census Tract 6.01, East Baton Rouge Parish, Louisiana",8,941,0,0,0,6,955,0.837696335,98.53403141,0,0,0.628272251
1500000US220330006012,"Block Group 2, Census Tract 6.01, East Baton Rouge Parish, Louisiana",30,1123,0,0,0,7,1160,2.586206897,96.81034483,0,0,0.603448276
1500000US220330006013,"Block Group 3, Census Tract 6.01, East Baton Rouge Parish, Louisiana",23,817,0,0,0,0,840,2.738095238,97.26190476,0,0,0
1500000US220330006021,"Block Group 1, Census Tract 6.02, East Baton Rouge Parish, Louisiana",3,671,0,0,0,2,676,0.443786982,99.26035503,0,0,0.295857988
1500000US220330006022,"Block Group 2, Census Tract 6.02, East Baton Rouge Parish, Louisiana",16,698,3,0,0,6,723,2.213001383,96.54218534,0.414937759,0,0.829875519
1500000US220330006023,"Block Group 3, Census Tract 6.02, East Baton Rouge Parish, Louisiana",5,566,0,0,0,2,573,0.872600349,98.77835951,0,0,0.34904014
1500000US220330006024,"Block Group 4, Census Tract 6.02, East Baton Rouge Parish, Louisiana",12,855,0,0,1,4,872,1.376146789,98.05045872,0,0,0.458715596
1500000US220330006025,"Block Group 5, Census Tract 6.02, East Baton Rouge Parish, Louisiana",12,959,0,2,1,12,986,1.21703854,97.26166329,0,0.202839757,1.21703854
1500000US220330007011,"Block Group 1, Census Tract 7.01, East Baton Rouge Parish, Louisiana",59,1073,9,13,0,104,1258,4.689984102,85.29411765,0.715421304,1.033386328,8.26709062
1500000US220330007012,"Block Group 2, Census Tract 7.01, East Baton Rouge Parish, Louisiana",17,742,3,1,0,10,773,2.199223803,95.98965071,0.388098318,0.129366106,1.293661061
