"GEOID","NAME","total_popE","total_popM","whiteE","whiteM","blackE","blackM","american_indianE","american_indianM","asianE","asianM","native_hawaiianE","native_hawaiianM","otherE","otherM","two_or_moreE","two_or_moreM"
"1","22033000100","Census Tract 1, East Baton Rouge Parish, Louisiana",1661,200,85,67,1562,216,0,13,0,13,0,13,0,13,14,15
"2","22033000200","Census Tract 2, East Baton Rouge Parish, Louisiana",6717,1047,276,150,5970,828,0,18,0,18,0,18,388,568,83,94
"3","22033000300","Census Tract 3, East Baton Rouge Parish, Louisiana",1615,312,65,49,1532,308,0,13,0,13,0,13,0,13,18,25
"4","22033000400","Census Tract 4, East Baton Rouge Parish, Louisiana",2623,677,110,87,2503,705,10,16,0,13,0,13,0,13,0,13
"5","22033000500","Census Tract 5, East Baton Rouge Parish, Louisiana",4009,506,60,44,3949,515,0,13,0,13,0,13,0,13,0,13
"6","22033000601","Census Tract 6.01, East Baton Rouge Parish, Louisiana",2657,447,78,49,2579,442,0,13,0,13,0,13,0,13,0,13
"7","22033000602","Census Tract 6.02, East Baton Rouge Parish, Louisiana",3942,466,47,60,3895,475,0,13,0,13,0,13,0,13,0,13
"8","22033000701","Census Tract 7.01, East Baton Rouge Parish, Louisiana",2325,276,159,151,1901,367,16,26,40,40,0,13,36,58,173,218
"9","22033000702","Census Tract 7.02, East Baton Rouge Parish, Louisiana",3233,992,86,62,3100,1000,0,13,10,18,0,13,37,56,0,13
"10","22033000900","Census Tract 9, East Baton Rouge Parish, Louisiana",3876,481,118,71,3753,486,0,13,0,13,0,13,0,13,5,10
"11","22033001000","Census Tract 10, East Baton Rouge Parish, Louisiana",3346,514,96,95,3249,544,0,13,1,5,0,13,0,13,0,13
"12","22033001102","Census Tract 11.02, East Baton Rouge Parish, Louisiana",3400,414,629,224,2708,366,27,40,11,22,0,13,0,13,25,29
"13","22033001103","Census Tract 11.03, East Baton Rouge Parish, Louisiana",3075,426,353,117,2708,429,0,13,0,13,0,13,0,13,14,16
"14","22033001104","Census Tract 11.04, East Baton Rouge Parish, Louisiana",4141,511,569,267,3245,468,0,13,0,13,0,13,327,241,0,13
"15","22033001600","Census Tract 16, East Baton Rouge Parish, Louisiana",3281,305,1948,321,1181,358,0,13,49,56,0,13,0,13,103,87
"16","22033001700","Census Tract 17, East Baton Rouge Parish, Louisiana",5529,445,4265,485,1181,267,47,76,15,25,0,18,0,18,21,28
"17","22033001800","Census Tract 18, East Baton Rouge Parish, Louisiana",2257,243,1522,220,453,154,0,13,19,28,0,13,71,110,192,169
