State School ID,NCES District ID,State District ID,Census Track ,GEOID,Low Grade*,High Grade*,School Name,District,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
LA-017-017001,2200540,LA-017,Census Tract 40.25,220330040251001,06,12,Arlington Preparatory Academy,East Baton Rouge Parish,931 Dean Lee Drive,Baton Rouge,LA,70820,,(225)766-8188,No,No,Yes,Yes,93.00000,8.25000,11.3000000,48.00000,0.00000
LA-017-017084,2200540,LA-017,Census Tract 52,220330052002063,PK,05,B. R. Foreign Language Acad. Immersion Magnet,East Baton Rouge Parish,802 Mayflower,Baton Rouge,LA,70802,,(225)343-6630,No,Yes,No,†,492.00000,41.00000,12.0000000,79.00000,19.00000
LA-017-017008,2200540,LA-017,Census Tract 16,220330016002016,09,12,Baton Rouge Magnet High School,East Baton Rouge Parish,2825 Government St.,Baton Rouge,LA,70806,,(225)383-0520,No,Yes,No,†,1607.00000,78.30000,20.5000000,209.00000,10.00000
LA-017-017010,2200540,LA-017,Census Tract 36.04,220330036043004,09,12,Belaire High School,East Baton Rouge Parish,12121 Tams Drive,Baton Rouge,LA,70815,,(225)272-1860,No,No,Yes,Yes,681.00000,41.00000,16.6000000,363.00000,3.00000
LA-017-017011,2200540,LA-017,Census Tract 6.02,220330006024015,PK,08,Belfair Montessori School,East Baton Rouge Parish,4451 Fairfields Ave,Baton Rouge,LA,70802,,(225)356-6191,No,No,Yes,Yes,287.00000,25.00000,11.5000000,115.00000,5.00000
LA-017-017013,2200540,LA-017, Census Tract 17,220330017002031,PK,05,Bernard Terrace Elementary School,East Baton Rouge Parish,241 Edison Street,Baton Rouge,LA,70806,,(225)343-5769,No,No,Yes,Yes,317.00000,17.00000,18.6000000,223.00000,0.00000
LA-017-017014,2200540,LA-017,Census Tract 27,220330027002002,PK,05,Broadmoor Elementary School,East Baton Rouge Parish,4510 Bawell Street,Baton Rouge,LA,70808,,(225)925-0343,No,No,Yes,Yes,541.00000,28.00000,19.3000000,334.00000,0.00000
LA-017-017016,2200540,LA-017,Census Tract 37.01,220330037015005,09,12,Broadmoor Senior High School,East Baton Rouge Parish,10100 Goodwood Blvd.,Baton Rouge,LA,70815,,(225)926-1420,No,No,Yes,Yes,948.00000,53.00000,17.9000000,445.00000,3.00000
LA-017-017146,2200540,LA-017,Census Tract 2, 220330002006004,06,08,Brookstown Middle,East Baton Rouge Parish,4375 Brookstown Dr.,Baton Rouge,LA,70805,,(225)355-6556,No,No,Yes,Yes,283.00000,19.00000,14.9000000,225.00000,1.00000
LA-017-017018,2200540,LA-017,Census Tract 32.01,220330032012002,PK,05,Brownfields Elementary School,East Baton Rouge Parish,11615 Ellen Drive,Baton Rouge,LA,70811,,(225)775-3527,No,No,Yes,Yes,285.00000,16.00000,17.8000000,227.00000,12.00000
