Tract,pm,ozone,diesel,Air Tox Cancer,nata_rhi,traffic,lead,npl,rmp,hazardous_waste,underground,wastewater,poc,low income,unemp,lang,education,under_5,over_64
22033000100,10.2,37.9,0.581,60,1,2500,0.34,0.12,5.2,6.2,1.1,5.60000000,95,78,11,0,31,19,15
22033000200,10.2,38,0.483,50,0.7,1300,0.19,0.095,2.5,4.4,2.3,0.76000000,96,79,17,1,28,7,10
22033000300,10.2,37.9,0.584,60,1,2300,0.38,0.11,5.9,6.7,1.6,2.90000000,96,58,15,0,27,5,12
22033000400,10.2,37.9,0.534,60,0.9,630,0.51,0.097,3.5,4.7,2.5,1.50000000,96,80,7,0,30,9,8
22033000500,10.2,37.8,0.593,60,0.9,2200,0.35,0.092,5.1,6.9,3.4,0.83000000,99,69,27,1,33,5,7
22033000601,10.2,37.9,0.535,60,0.8,440,0.37,0.09,3.8,4.9,2,0.96000000,97,63,10,0,20,7,15
22033000602,10.2,37.9,0.557,60,0.8,440,0.45,0.082,2.8,4,1.8,0.00000000,100,65,18,0,17,7,18
22033000701,10.2,38,0.459,50,0.6,790,0.26,0.082,1.8,3.3,7.3,0.00000000,93,69,21,4,21,5,8
22033000702,10.3,38,0.469,50,0.6,600,0.28,0.077,2,2.9,8.6,0.00000000,98,57,24,0,16,6,16
22033000900,10.3,37.8,0.651,60,0.8,1200,0.54,0.08,3.1,4.5,2.4,0.00000000,97,61,23,1,18,2,17
22033001000,10.3,37.9,0.589,60,0.7,320,0.57,0.075,1.8,3,3.7,0.00000000,98,68,7,0,20,11,16
22033001102,10.3,38.1,0.456,50,0.6,870,0.094,0.065,1.5,2.6,6.9,0.00000000,82,55,8,2,25,4,22
22033001103,10.3,37.9,0.514,50,0.6,450,0.34,0.072,1.2,2.1,4.8,0.00000000,89,58,5,0,10,9,6
22033001104,10.3,38,0.474,50,0.6,210,0.091,0.067,1.2,2.1,4.7,0.00000000,90,83,20,5,36,13,6
22033001600,10.3,37.8,0.693,60,0.7,1700,0.66,0.07,1.1,3.3,6.1,0.00000000,41,38,8,0,7,5,11
22033001700,10.3,37.8,0.611,60,0.7,1200,0.6,0.066,0.78,2.4,2.7,0.00000000,24,29,3,1,6,7,15
22033001800,10.3,37.9,0.511,60,0.6,680,0.34,0.064,0.64,2,7.2,0.00000000,36,43,7,3,5,9,26
22033001900,10.3,37.9,0.526,60,0.6,970,0.45,0.061,0.44,1.4,0.79,0.00000000,11,13,2,1,3,9,15
22033002000,10.3,38,0.515,60,0.6,450,0.13,0.055,0.5,1.3,3.8,0.00000000,13,12,1,1,1,5,23
22033002200,10.3,37.7,0.696,60,0.7,3600,0.59,0.068,1.2,2.2,1.6,0.00042000,82,71,24,0,25,2,14
22033002300,10.3,37.7,0.663,60,0.7,1700,0.74,0.065,0.7,2.3,3.3,0.00000000,6,19,2,0,2,6,17
22033002400,10.2,37.6,0.58,60,0.7,1400,0.33,0.063,2.4,2.5,2.9,0.00083000,79,60,17,8,26,4,14
22033002500,10.3,37.6,0.618,60,0.7,2200,0.2,0.063,1.1,4.1,2.3,0.00041000,60,52,9,0,21,1,12
22033002601,10.3,37.7,0.561,60,0.6,1800,0.56,0.058,0.35,1.7,4.2,0.00000000,16,25,1,2,0,6,14
22033002602,10.4,37.8,0.562,60,0.6,550,0.12,0.05,0.38,1.8,1.6,0.00000000,35,35,6,1,3,15,13
22033002700,10.3,37.8,0.59,60,0.06,3400,0.56,0.06,0.28,1.6,8.9,0.00000000,62,38,13,1,17,5,19
22033002801,10.2,37.6,0.539,60,0.7,1700,0.18,0.061,1.5,3.4,3.9,0.00060000,37,74,18,8,5,0,1
22033002802,10.3,37.6,0.551,60,0.6,640,0.1,0.057,0.5,2.6,1.5,0.00030000,35,74,19,14,6,1,1
22033003000,10,37.7,0.457,60,1,130,0.18,0.25,5.3,5.4,0.7,6.10000000,93,58,16,0,20,7,9
22033003101,10,37.9,0.476,60,1,1100,0.38,0.2,4.1,5.4,0.8,5.70000000,100,66,15,0,15,9,14
22033003103,10.1,37.9,0.477,60,1,990,0.37,0.16,3.4,3.9,2.9,0.50000000,93,69,19,0,24,7,11
22033003201,10,38,0.366,50,0.5,54,0.28,0.11,0.25,0.44,1.3,0.00000014,84,44,5,1,9,8,12
22033003202,9.91,38,0.269,40,0.5,71,0.14,0.096,0.15,0.2,0.33,0.00000005,76,22,8,0,8,4,15
22033003300,10.1,38,0.444,50,0.7,810,0.064,0.1,1.3,2.7,2.2,0.17000000,99,64,21,0,19,13,15
22033003400,10.1,38,0.44,50,0.7,810,0.064,0.1,1.3,2.7,2.2,0.17000000,99,64,21,0,19,13,15
22033003501,10.2,38.1,0.315,50,0.6,170,0.16,0.077,0.32,1.4,0.99,0.00000015,91,46,6,13,26,7,9
22033003504,10.2,38.1,0.362,50,0.6,60,0.12,0.086,0.49,1.5,0.54,0.00000005,98,58,9,0,10,7,14
22033003505,10.2,38.1,0.382,50,0.6,900,0.18,0.078,0.95,2.6,4.6,0.00000001,93,62,11,3,16,5,9
22033003506,10.3,38.2,0.361,50,0.5,250,0.092,0.062,0.89,3.4,3.3,1.60000000,89,26,4,1,9,8,17
22033003507,10.2,38.2,0.303,50,0.5,150,0.04,0.067,0.2,1.9,1.1,5.50000000,91,37,5,2,12,6,13
22033003601,10.3,38.2,0.413,50,0.6,640,0.2,0.058,0.83,3.1,2.7,4.80000000,78,33,4,4,15,7,16
22033003603,10.3,38.2,0.379,50,0.5,720,0.27,0.058,0.37,5.4,2.3,16.00000000,81,57,5,7,6,12,10
22033003604,10.2,38.2,0.343,50,0.5,510,0.096,0.063,0.22,3.6,1.6,51.00000000,92,62,6,10,20,3,5
22033003701,10.3,38.1,0.485,60,0.6,810,0.3,0.054,0.42,2.1,1.9,2.40000000,42,22,2,1,5,8,18
22033003702,10.3,38.2,0.44,50,0.6,690,0.74,0.056,0.29,3,1.4,9.90000000,48,27,5,1,8,9,18
22033003703,10.3,38.2,0.4,50,0.5,300,0.043,0.063,0.18,2.5,1.5,67.00000000,62,22,11,8,5,5,21
22033003801,10.3,37.9,0.557,60,0.6,1900,0.031,0.55,0.24,1.2,2.3,0.00000000,37,21,3,1,4,3,18
22033003802,10.4,38,0.569,60,0.6,1300,0.079,0.05,0.3,1.5,3.7,0.00000000,29,14,1,1,2,6,21
22033003804,10.4,38,0.612,60,0.6,1500,0.095,0.047,0.56,2,3.2,0.00000000,26,24,4,4,1,9,21
22033003805,10.4,38,0.538,60,0.6,670,0.071,0.047,0.37,2.9,1.5,0.00120000,26,15,4,0,5,5,15
22033003904,10.3,38.2,0.417,50,0.5,1200,0.043,0.06,0.16,2.6,6.5,18.00000000,69,44,5,6,4,12,11
